,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
1,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
2,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
3,Self contain (single rooms) for rent,"Fajuyi Way, Ikeja GRA, Ikeja, Lagos",3500000,No Info,No Info,No Info
4,Self contain (single rooms) for rent,"Fajuyi Way, Ikeja GRA, Ikeja, Lagos",3500000,No Info,No Info,No Info
5,Self contain (single rooms) for rent,"Fajuyi Way, Ikeja GRA, Ikeja, Lagos",3500000,No Info,No Info,No Info
6,1 bedroom mini flat (room and parlour) short let,"Ikeja GRA, Ikeja, Lagos",60000,1,1,1
7,1 bedroom mini flat (room and parlour) short let,"Ikeja GRA, Ikeja, Lagos",60000,1,1,1
8,1 bedroom mini flat (room and parlour) short let,"Ikeja GRA, Ikeja, Lagos",60000,1,1,1
9,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
10,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
11,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
12,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
13,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
14,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
15,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
16,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
17,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
18,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
19,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
20,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,No Info,No Info,No Info
21,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
22,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
23,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
24,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
25,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
26,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
27,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
28,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
29,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
30,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
31,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
32,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
33,5 bedroom flat / apartment for rent,"Omole Phase 2, Ikeja, Lagos",12000000,5,5,6
34,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
35,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
36,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
37,1 bedroom mini flat (room and parlour) for rent,"Alausa, Ikeja, Lagos",1200000,1,1,2
38,1 bedroom mini flat (room and parlour) for rent,"Alausa, Ikeja, Lagos",1200000,1,1,2
39,1 bedroom mini flat (room and parlour) for rent,"Alausa, Ikeja, Lagos",1200000,1,1,2
40,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
41,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
42,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
