,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
1,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
2,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,No Info,No Info,No Info
3,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
4,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
5,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
6,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
7,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
8,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
9,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
10,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
11,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
12,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
13,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
14,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
15,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
16,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
17,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
18,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
19,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
20,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
21,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
22,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
23,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
24,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
25,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
26,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,No Info,No Info,No Info
27,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
28,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
29,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
30,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
31,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
32,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
33,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
34,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
35,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
36,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
37,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
38,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
39,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
40,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
41,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
42,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
43,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
44,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
45,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
46,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
47,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
48,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,No Info,No Info,No Info
49,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
50,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
51,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
52,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
53,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
54,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
55,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
56,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
57,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
58,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
59,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
60,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
61,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
62,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
63,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
64,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
65,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
66,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
67,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
68,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
69,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
70,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
71,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
72,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
73,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
74,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
75,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
76,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
77,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
78,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
79,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
80,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
81,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
82,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
83,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
84,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
85,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
86,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
87,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
88,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
89,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
90,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
91,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
92,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
93,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
94,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
95,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
96,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
97,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
98,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
99,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
100,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
101,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
102,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
103,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
104,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
105,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
106,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
107,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
108,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
109,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
110,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
111,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
112,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
113,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
114,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
115,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
116,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
117,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
118,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate By, Banana Island, Ikoyi, Lagos",7000000,1,1,2
119,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate By, Banana Island, Ikoyi, Lagos",7000000,1,1,2
120,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate By, Banana Island, Ikoyi, Lagos",7000000,1,1,2
121,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
122,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
123,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
124,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
125,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
126,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
127,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
128,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
129,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
130,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,No Info,No Info,No Info
131,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
132,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
133,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
134,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
135,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
136,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
137,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
138,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
139,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
140,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
141,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
142,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
143,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
144,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
145,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
146,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
147,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
148,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
149,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
150,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
151,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
152,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
153,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
154,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,No Info,No Info,No Info
155,2 bedroom flat / apartment for rent,"Parkview, Ikoyi, Lagos",9500000,2,2,3
156,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
157,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
158,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,No Info,No Info,No Info
159,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
160,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
161,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
162,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
163,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
