,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
1,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
2,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
3,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
4,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
5,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
6,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
7,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
8,3 bedroom flat / apartment for rent,"Oko-oba, Agege, Lagos",2000000,3,3,4
9,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
10,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
11,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
12,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
13,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
14,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
15,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
16,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
17,3 bedroom flat / apartment for rent,"New Oko-Oba, Agege, Lagos",1200000,3,3,4
18,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
19,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
20,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
21,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
22,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
23,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
24,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
25,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
26,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
27,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
28,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
29,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
30,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
31,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
32,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
33,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
34,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
35,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
36,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
37,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
38,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
39,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
40,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
41,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
42,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
43,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
44,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
45,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
46,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
47,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
48,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
49,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
50,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
51,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
52,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
53,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
54,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
55,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
56,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
57,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
58,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
59,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
60,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
61,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
62,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
63,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
64,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
65,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
66,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
67,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
68,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
69,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
70,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
71,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
72,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
73,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
74,2 bedroom flat / apartment for rent,"Off Pipeline Road, Fagba, Agege, Lagos",800000,2,2,2
