,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
1,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
2,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
3,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
4,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
5,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
6,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
7,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
8,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
9,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
10,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
11,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
12,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
13,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
14,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
15,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
16,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
17,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
18,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
19,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
20,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
21,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
22,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
23,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
24,2 bedroom flat / apartment for rent,"Moba, Off Mobil Road, Ilaje Ajah Lagos, Ilaje, Ajah, Lagos",900000,2,2,3
25,2 bedroom flat / apartment for rent,"Moba, Off Mobil Road, Ilaje Ajah Lagos, Ilaje, Ajah, Lagos",900000,2,2,3
26,2 bedroom flat / apartment for rent,"Moba, Off Mobil Road, Ilaje Ajah Lagos, Ilaje, Ajah, Lagos",900000,2,2,3
27,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
28,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
29,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
30,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
31,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
32,Self contain (single rooms) for rent,"Value County, Ajah, Lagos",600000,No Info,No Info,No Info
33,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
34,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
35,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
36,Self contain (single rooms) for rent,"Roi Estate, Ararumi, Ogombo, Ajah, Lagos",350000,No Info,No Info,No Info
37,Self contain (single rooms) for rent,"Roi Estate, Ararumi, Ogombo, Ajah, Lagos",350000,No Info,No Info,No Info
38,Self contain (single rooms) for rent,"Roi Estate, Ararumi, Ogombo, Ajah, Lagos",350000,No Info,No Info,No Info
39,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
40,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
41,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
42,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
43,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
44,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
45,3 bedroom flat / apartment for rent,"Lekki Scheme 2, Abraham Adesanya Area, Ajiwe, Ajah, Lagos",2800000,3,1,4
46,3 bedroom flat / apartment for rent,"Lekki Scheme 2, Abraham Adesanya Area, Ajiwe, Ajah, Lagos",2800000,3,1,4
47,3 bedroom flat / apartment for rent,"Lekki Scheme 2, Abraham Adesanya Area, Ajiwe, Ajah, Lagos",2800000,3,1,4
48,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
49,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
50,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
51,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
52,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
53,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
54,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
55,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
56,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
57,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
58,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
59,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
