,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0, Agege,800000,2,5,2,Off Ekoro, Lagos
1, Agege,800000,2,5,2,Off Ekoro, Lagos
2, Agege,800000,2,5,2,Off Ekoro, Lagos
3, Agege,800000,2,5,2,Off Ekoro, Lagos
4, Agege,800000,2,5,2,Off Ekoro, Lagos
5, Agege,800000,2,5,2,Off Ekoro, Lagos
6, Agege,2000000,3,3,4,Oko-oba, Lagos
7, Agege,2000000,3,3,4,Oko-oba, Lagos
8, Agege,2000000,3,3,4,Oko-oba, Lagos
9, Agege,1600000,4,2,3,162, Lagos
10, Agege,1600000,4,2,3,162, Lagos
11, Agege,1600000,4,2,3,162, Lagos
12, Agege,1200000,3,3,4,New Oko-Oba, Lagos
13, Agege,1200000,3,3,4,New Oko-Oba, Lagos
14, Agege,1200000,3,3,4,New Oko-Oba, Lagos
15, Agege,1200000,3,3,4,New Oko-Oba, Lagos
16, Agege,1200000,3,3,4,New Oko-Oba, Lagos
17, Agege,1200000,3,3,4,New Oko-Oba, Lagos
18, Agege,800000,2,5,2,Off Ekoro, Lagos
19, Agege,800000,2,5,2,Off Ekoro, Lagos
20, Agege,800000,2,5,2,Off Ekoro, Lagos
21, Agege,800000,2,5,2,Off Ekoro, Lagos
22, Agege,800000,2,5,2,Off Ekoro, Lagos
23, Agege,800000,2,5,2,Off Ekoro, Lagos
24, Agege,800000,2,5,2,Off Ekoro, Lagos
25, Agege,800000,2,5,2,Off Ekoro, Lagos
26, Agege,800000,2,5,2,Off Ekoro, Lagos
27, Agege,800000,2,5,2,Off Ekoro, Lagos
28, Agege,800000,2,5,2,Off Ekoro, Lagos
29, Agege,800000,2,5,2,Off Ekoro, Lagos
30, Agege,800000,2,2,2,Off Pipeline Road, Lagos
31, Agege,800000,2,2,2,Off Pipeline Road, Lagos
32, Agege,800000,2,2,2,Off Pipeline Road, Lagos
33, Agege,800000,2,2,2,Off Pipeline Road, Lagos
34, Agege,800000,2,2,2,Off Pipeline Road, Lagos
35, Agege,800000,2,2,2,Off Pipeline Road, Lagos
36, Agege,400000,1,1,1,Toyin, Lagos
37, Agege,400000,1,1,1,Toyin, Lagos
38, Agege,400000,1,1,1,Toyin, Lagos
39, Agege,800000,2,2,2,Off Pipeline Road, Lagos
40, Agege,800000,2,2,2,Off Pipeline Road, Lagos
41, Agege,800000,2,2,2,Off Pipeline Road, Lagos
42, Agege,800000,2,5,2,Off Ekoro, Lagos
43, Agege,800000,2,5,2,Off Ekoro, Lagos
44, Agege,800000,2,5,2,Off Ekoro, Lagos
45, Agege,200000,1,1,1,Suberu Oje Off Meiran, Lagos
46, Agege,200000,1,1,1,Suberu Oje Off Meiran, Lagos
47, Agege,200000,1,1,1,Suberu Oje Off Meiran, Lagos
48, Agege,800000,2,5,2,Off Ekoro, Lagos
49, Agege,800000,2,5,2,Off Ekoro, Lagos
50, Agege,800000,2,5,2,Off Ekoro, Lagos
51, Agege,800000,2,5,2,Off Ekoro, Lagos
52, Agege,800000,2,5,2,Off Ekoro, Lagos
53, Agege,800000,2,5,2,Off Ekoro, Lagos
54, Agege,800000,2,5,2,Off Ekoro, Lagos
55, Agege,800000,2,5,2,Off Ekoro, Lagos
56, Agege,800000,2,5,2,Off Ekoro, Lagos
57, Agege,800000,2,5,2,Off Ekoro, Lagos
58, Agege,800000,2,5,2,Off Ekoro, Lagos
59, Agege,800000,2,5,2,Off Ekoro, Lagos
60, Agege,800000,2,5,2,Off Ekoro, Lagos
61, Agege,800000,2,5,2,Off Ekoro, Lagos
62, Agege,800000,2,5,2,Off Ekoro, Lagos
63, Agege,1600000,4,2,3,162, Lagos
64, Agege,1600000,4,2,3,162, Lagos
65, Agege,1600000,4,2,3,162, Lagos
66, Agege,400000,1,1,1,Toyin, Lagos
67, Agege,400000,1,1,1,Toyin, Lagos
68, Agege,400000,1,1,1,Toyin, Lagos
69, Agege,400000,1,1,1,Toyin, Lagos
