,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0, Ajah,40000000,2,2,3,The Balconies, Lagos
1, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
2, Ajah,40000000,2,2,3,The Balconies, Lagos
3, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
4, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
5, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
6, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
7, Ajah,40000000,2,2,3,The Balconies, Lagos
8, Ajah,40000000,2,2,3,The Balconies, Lagos
9, Ajah,750000,1,1,2,Olokonla, Lagos
10, Ajah,750000,1,1,2,Olokonla, Lagos
11, Ajah,750000,1,1,2,Olokonla, Lagos
12, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
13, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
14, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
15, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
16, Ajah,40000000,2,2,3,The Balconies, Lagos
17, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
18, Ajah,40000000,2,2,3,The Balconies, Lagos
19, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
20, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
21, Ajah,40000000,2,2,3,The Balconies, Lagos
22, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
23, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
24, Ajah,900000,2,2,3,Moba, Lagos
25, Ajah,900000,2,2,3,Moba, Lagos
26, Ajah,900000,2,2,3,Moba, Lagos
27, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
28, Ajah,40000000,2,2,3,The Balconies, Lagos
29, Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
30, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
31, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
32, Ajah,600000,No Info,No Info,No Info,Value County, Lagos
33, Ajah,1500000,2,2,3,Sangotedo, Lagos
34, Ajah,1500000,2,2,3,Sangotedo, Lagos
35, Ajah,1500000,2,2,3,Sangotedo, Lagos
36, Ajah,350000,No Info,No Info,No Info,Roi Estate, Lagos
