,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0, Ikeja,1500000,2,2,3,Aguda, Lagos
1, Ikeja,1500000,2,2,3,Aguda, Lagos
2, Ikeja,1500000,2,2,3,Aguda, Lagos
3, Ikeja,3500000,No Info,No Info,No Info,Fajuyi Way, Lagos
4, Ikeja,3500000,No Info,No Info,No Info,Fajuyi Way, Lagos
5, Ikeja,3500000,No Info,No Info,No Info,Fajuyi Way, Lagos
6, Ikeja,60000,1,1,1,Ikeja GRA, Lagos
7, Ikeja,60000,1,1,1,Ikeja GRA, Lagos
8, Ikeja,60000,1,1,1,Ikeja GRA, Lagos
9, Ikeja,750000,1,1,2,Off College Road, Lagos
10, Ikeja,750000,1,1,2,Off College Road, Lagos
11, Ikeja,750000,1,1,2,Off College Road, Lagos
12, Ikeja,1500000,2,2,3,Aguda, Lagos
13, Ikeja,1500000,2,2,3,Aguda, Lagos
14, Ikeja,1500000,2,2,3,Aguda, Lagos
15, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
16, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
17, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
18, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
19, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
20, Ikeja,40000,No Info,No Info,No Info,Adeyemo Akapo, Lagos
21, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
22, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
23, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
24, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
25, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
26, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
27, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
28, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
29, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
30, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
31, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
32, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
33, Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
34, Ikeja,750000,1,1,2,Off College Road, Lagos
35, Ikeja,750000,1,1,2,Off College Road, Lagos
36, Ikeja,750000,1,1,2,Off College Road, Lagos
37, Ikeja,1200000,1,1,2,Alausa, Lagos
38, Ikeja,1200000,1,1,2,Alausa, Lagos
39, Ikeja,1200000,1,1,2,Alausa, Lagos
40, Ikeja,1500000,2,2,3,Aguda, Lagos
41, Ikeja,1500000,2,2,3,Aguda, Lagos
42, Ikeja,1500000,2,2,3,Aguda, Lagos
43, Ikeja,1500000,2,2,3,Aguda, Lagos
44, Ikeja,1500000,2,2,3,Aguda, Lagos
45, Ikeja,1500000,2,2,3,Aguda, Lagos
46, Ikeja,46500,1,1,1,Sule Abuka Cresent, Lagos
47, Ikeja,46500,1,1,1,Sule Abuka Cresent, Lagos
48, Ikeja,46500,1,1,1,Sule Abuka Cresent, Lagos
49, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
50, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
51, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
52, Ikeja,1500000,2,2,3,Aguda, Lagos
53, Ikeja,1500000,2,2,3,Aguda, Lagos
54, Ikeja,1500000,2,2,3,Aguda, Lagos
55, Ikeja,1500000,2,2,3,Aguda, Lagos
56, Ikeja,1500000,2,2,3,Aguda, Lagos
57, Ikeja,1500000,2,2,3,Aguda, Lagos
58, Ikeja,1500000,2,2,3,Aguda, Lagos
59, Ikeja,1500000,2,2,3,Aguda, Lagos
60, Ikeja,1500000,2,2,3,Aguda, Lagos
61, Ikeja,90000,2,2,2,Opebi, Lagos
62, Ikeja,90000,2,2,2,Opebi, Lagos
63, Ikeja,90000,2,2,2,Opebi, Lagos
64, Ikeja,90000,2,2,2,Opebi, Lagos
65, Ikeja,90000,2,2,2,Opebi, Lagos
66, Ikeja,90000,2,2,2,Opebi, Lagos
67, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
68, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
69, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
70, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
71, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
72, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
73, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
74, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
75, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
76, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
77, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
78, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
79, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
80, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
81, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
82, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
83, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
84, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
85, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
86, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
87, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
88, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
89, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
90, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
91, Ikeja,750000,1,1,2,Off College Road, Lagos
92, Ikeja,750000,1,1,2,Off College Road, Lagos
93, Ikeja,750000,1,1,2,Off College Road, Lagos
94, Ikeja,1500000,2,2,3,Aguda, Lagos
95, Ikeja,1500000,2,2,3,Aguda, Lagos
96, Ikeja,1500000,2,2,3,Aguda, Lagos
97, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
98, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
99, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
100, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
101, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
102, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
103, Ikeja,750000,1,1,2,Off College Road, Lagos
104, Ikeja,750000,1,1,2,Off College Road, Lagos
105, Ikeja,750000,1,1,2,Off College Road, Lagos
106, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
107, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
108, Ikeja,35000,No Info,No Info,No Info,Oke Ira, Lagos
109, Ikeja,750000,1,1,2,Off College Road, Lagos
110, Ikeja,750000,1,1,2,Off College Road, Lagos
111, Ikeja,750000,1,1,2,Off College Road, Lagos
112, Ikeja,90000,2,2,2,Opebi, Lagos
113, Ikeja,90000,2,2,2,Opebi, Lagos
114, Ikeja,90000,2,2,2,Opebi, Lagos
115, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
116, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
117, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
118, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
119, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
120, Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
121, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
122, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
123, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
124, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
125, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
126, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
127, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
128, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
129, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
130, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
131, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
132, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
133, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
134, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
135, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
136, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
137, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
138, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
139, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
140, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
141, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
142, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
143, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
144, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
145, Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
146, Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
147, Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
148, Ikeja,50000,2,2,3,Wemco Road, Lagos
149, Ikeja,50000,2,2,3,Wemco Road, Lagos
150, Ikeja,50000,2,2,3,Wemco Road, Lagos
151, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
152, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
153, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
154, Ikeja,45000,1,1,2,Oremeta, Lagos
155, Ikeja,45000,1,1,2,Oremeta, Lagos
156, Ikeja,45000,1,1,2,Oremeta, Lagos
157, Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
158, Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
159, Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
160, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
161, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
162, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
163, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
164, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
165, Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
166, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
167, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
168, Ikeja,40000,1,1,1,Adeyemo Akapo, Lagos
169, Ikeja,90000,2,2,2,Opebi, Lagos
170, Ikeja,90000,2,2,2,Opebi, Lagos
171, Ikeja,90000,2,2,2,Opebi, Lagos
