,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Ikoyi,600000,4,4,5,Ikoyi, Lagos
1,Ikoyi,600000,4,4,5,Ikoyi, Lagos
2,Ikoyi,600000,No Info,No Info,No Info,Ikoyi, Lagos
3, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
4, Ikoyi,9500000,2,2,3,Parkview, Lagos
5, Ikoyi,9500000,2,2,3,Parkview, Lagos
6, Ikoyi,9500000,No Info,No Info,No Info,Parkview, Lagos
7, Ikoyi,9500000,2,2,3,Parkview, Lagos
8, Ikoyi,9500000,2,2,3,Parkview, Lagos
9, Ikoyi,9500000,2,2,3,Parkview, Lagos
10, Ikoyi,9500000,No Info,No Info,No Info,Parkview, Lagos
11, Ikoyi,9500000,2,2,3,Parkview, Lagos
12, Ikoyi,110000,2,2,3,Banana Island, Lagos
13, Ikoyi,110000,2,2,3,Banana Island, Lagos
14, Ikoyi,110000,2,2,3,Banana Island, Lagos
15, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
16, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
17, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
18,Ikoyi,600000,4,4,5,Ikoyi, Lagos
19,Ikoyi,600000,4,4,5,Ikoyi, Lagos
20, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
21, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
22, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
23, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
24, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
25, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
26, Ikoyi,320000000,No Info,No Info,No Info,Foreshore Estate Phase One, Lagos
27, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
28, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
29,Ikoyi,600000,4,4,5,Ikoyi, Lagos
30, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
31, Ikoyi,110000,2,2,3,Banana Island, Lagos
32, Ikoyi,110000,2,2,3,Banana Island, Lagos
33, Ikoyi,110000,2,2,3,Banana Island, Lagos
34, Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
35, Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
36, Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
37, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
38, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
39, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
40, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
41, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
42, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
43, Ikoyi,110000,2,2,3,Banana Island, Lagos
44, Ikoyi,110000,2,2,3,Banana Island, Lagos
45, Ikoyi,110000,2,2,3,Banana Island, Lagos
46, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
47, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
48, Ikoyi,320000000,No Info,No Info,No Info,Foreshore Estate Phase One, Lagos
49, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
50, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
51, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
52, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
53, Ikoyi,110000,2,2,3,Banana Island, Lagos
54, Ikoyi,110000,2,2,3,Banana Island, Lagos
55, Ikoyi,110000,2,2,3,Banana Island, Lagos
56, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
57,Ikoyi,600000,4,4,5,Ikoyi, Lagos
58,Ikoyi,600000,4,4,5,Ikoyi, Lagos
59,Ikoyi,600000,4,4,5,Ikoyi, Lagos
60,Ikoyi,600000,4,4,5,Ikoyi, Lagos
61, Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
62,Ikoyi,600000,4,4,5,Ikoyi, Lagos
63,Ikoyi,600000,4,4,5,Ikoyi, Lagos
64,Ikoyi,600000,4,4,5,Ikoyi, Lagos
65, Ikoyi,310000000,3,4,4,Off Club Road, Lagos
