,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0, Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
1, Lekki,75000,2,2,3,Ikate, Lagos
2, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
3, Lekki,1100000,No Info,No Info,No Info,Off Davies Court, Lagos
4, Lekki,1100000,No Info,No Info,No Info,Off Davies Court, Lagos
5, Lekki,1100000,No Info,No Info,No Info,Off Davies Court, Lagos
6, Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
7, Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
8, Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
9, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
10, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
11, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
12, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
13, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
14, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
15, Lekki,1700000,No Info,No Info,No Info,Lekki Phase 1, Lagos
16, Lekki,1700000,No Info,No Info,No Info,Lekki Phase 1, Lagos
17, Lekki,1700000,No Info,No Info,No Info,Lekki Phase 1, Lagos
18, Lekki,2500000,2,2,3,Lekki County Road, Lagos
19, Lekki,2500000,2,2,3,Lekki County Road, Lagos
20, Lekki,2500000,2,2,3,Lekki County Road, Lagos
21, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
22, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
23, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
24, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
25, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
26, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
27, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
28, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
29, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
30, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
31, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
32, Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
33, Lekki,75000,2,2,3,Ikate, Lagos
34, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
35, Lekki,40000,1,1,1,Off Admiralty Way, Lagos
