,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0, Yaba,700000,No Info,No Info,No Info,Close To 3rd Mainland Bridge, Lagos
1, Yaba,700000,No Info,No Info,No Info,Close To 3rd Mainland Bridge, Lagos
2, Yaba,700000,No Info,No Info,No Info,Close To 3rd Mainland Bridge, Lagos
3, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
4, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
5, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
6, Yaba,1000000,1,1,1,Iwaya, Lagos
7, Yaba,1000000,1,1,1,Iwaya, Lagos
8, Yaba,1000000,1,1,1,Iwaya, Lagos
9, Yaba,1000000,1,1,1,Iwaya, Lagos
10, Yaba,1000000,1,1,1,Iwaya, Lagos
11, Yaba,1000000,1,1,1,Iwaya, Lagos
12, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
13, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
14, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
15, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
16, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
17, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
18, Yaba,1500000,3,2,2,Onike, Lagos
19, Yaba,1500000,3,2,2,Onike, Lagos
20, Yaba,1500000,3,2,2,Onike, Lagos
21, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
22, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
23, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
24, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
25, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
26, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
27, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
28, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
29, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
30, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
31, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
32, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
33, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
34, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
35, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
36, Yaba,1000000,1,1,1,Iwaya, Lagos
37, Yaba,1000000,1,1,1,Iwaya, Lagos
38, Yaba,1000000,1,1,1,Iwaya, Lagos
39, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
40, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
41, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
42, Yaba,1000000,1,1,1,Iwaya, Lagos
43, Yaba,1000000,1,1,1,Iwaya, Lagos
44, Yaba,1000000,1,1,1,Iwaya, Lagos
45, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
46, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
47, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
48, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
49, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
50, Yaba,13000000,1,1,1,Comfy Burrows, Lagos
51, Yaba,1500000,2,1,1,Ebute Metta West, Lagos
52, Yaba,1500000,2,1,1,Ebute Metta West, Lagos
53, Yaba,1500000,2,1,1,Ebute Metta West, Lagos
54, Yaba,700000,No Info,No Info,No Info,Alagomeji, Lagos
55, Yaba,700000,No Info,No Info,No Info,Alagomeji, Lagos
56, Yaba,700000,No Info,No Info,No Info,Alagomeji, Lagos
57, Yaba,4000000,3,3,4,Osholanke, Lagos
58, Yaba,4000000,3,3,4,Osholanke, Lagos
59, Yaba,4000000,3,3,4,Osholanke, Lagos
60, Yaba,700000,3,3,4,Alagomeji, Lagos
61, Yaba,700000,3,3,4,Alagomeji, Lagos
62, Yaba,700000,3,3,4,Alagomeji, Lagos
63, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
64, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
65, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
66, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
67, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
68, Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
69, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
70, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
71, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
72, Yaba,1000000,1,1,1,Iwaya, Lagos
73, Yaba,1000000,1,1,1,Iwaya, Lagos
74, Yaba,1000000,1,1,1,Iwaya, Lagos
75, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
76, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
77, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
78, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
79, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
80, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
81, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
82, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
83, Yaba,13000000,3,1,1,Comfy Burrows, Lagos
84, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
85, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
86, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
87, Yaba,4000000,3,3,4,Osholanke, Lagos
88, Yaba,4000000,3,3,4,Osholanke, Lagos
89, Yaba,4000000,3,3,4,Osholanke, Lagos
90, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
91, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
92, Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
93, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
94, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
95, Yaba,13000000,No Info,No Info,No Info,Comfy Burrows, Lagos
