,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Ikeja,900000,1,1,2,Olowora, Lagos
1,Ikeja,900000,1,1,2,Olowora, Lagos
2,Ikeja,900000,1,1,2,Olowora, Lagos
3,Ikeja,900000,1,2,2,Olowora, Lagos
4,Ikeja,900000,1,2,2,Olowora, Lagos
5,Ikeja,900000,1,2,2,Olowora, Lagos
6,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
7,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
8,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
9,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
10,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
11,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
12,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
13,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
14,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
15,Ikeja,900000,1,2,2,Olowora, Lagos
16,Ikeja,900000,1,2,2,Olowora, Lagos
17,Ikeja,900000,1,2,2,Olowora, Lagos
18,Ikeja,900000,1,1,2,Olowora, Lagos
19,Ikeja,900000,1,1,2,Olowora, Lagos
20,Ikeja,900000,1,1,2,Olowora, Lagos
21,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
22,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
23,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
24,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
25,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
26,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
27,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
28,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
29,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
30,Ikeja,3500000,3,3,4,Opebi, Lagos
31,Ikeja,3500000,3,3,4,Opebi, Lagos
32,Ikeja,3500000,3,3,4,Opebi, Lagos
33,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
34,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
35,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
36,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
37,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
38,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
39,Ikeja,3500000,3,3,4,Opebi, Lagos
40,Ikeja,3500000,3,3,4,Opebi, Lagos
41,Ikeja,3500000,3,3,4,Opebi, Lagos
42,Ikeja,3500000,3,3,4,Opebi, Lagos
43,Ikeja,3500000,3,3,4,Opebi, Lagos
44,Ikeja,3500000,3,3,4,Opebi, Lagos
45,Ikeja,1500000,1,1,2,Allen, Lagos
46,Ikeja,1500000,1,1,2,Allen, Lagos
47,Ikeja,1500000,1,1,2,Allen, Lagos
48,Ikeja,3500000,3,3,4,Opebi, Lagos
49,Ikeja,3500000,3,3,4,Opebi, Lagos
50,Ikeja,3500000,3,3,4,Opebi, Lagos
51,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
52,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
53,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
54,Ikeja,900000,1,2,2,Olowora, Lagos
55,Ikeja,900000,1,2,2,Olowora, Lagos
56,Ikeja,900000,1,2,2,Olowora, Lagos
57,Ikeja,900000,1,2,2,Olowora, Lagos
58,Ikeja,900000,1,2,2,Olowora, Lagos
59,Ikeja,900000,1,2,2,Olowora, Lagos
60,Ikeja,1500000,1,1,2,Allen, Lagos
61,Ikeja,1500000,1,1,2,Allen, Lagos
62,Ikeja,1500000,1,1,2,Allen, Lagos
63,Ikeja,95000000,3,3,4,Allen, Lagos
64,Ikeja,95000000,3,3,4,Allen, Lagos
65,Ikeja,95000000,3,3,4,Allen, Lagos
66,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
67,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
68,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
69,Ikeja,900000,1,2,2,Olowora, Lagos
70,Ikeja,900000,1,2,2,Olowora, Lagos
71,Ikeja,900000,1,2,2,Olowora, Lagos
72,Ikeja,3500000,3,3,4,Opebi, Lagos
73,Ikeja,3500000,3,3,4,Opebi, Lagos
74,Ikeja,3500000,3,3,4,Opebi, Lagos
75,Ikeja,3500000,3,3,4,Opebi, Lagos
76,Ikeja,3500000,3,3,4,Opebi, Lagos
77,Ikeja,3500000,3,3,4,Opebi, Lagos
78,Ikeja,3500000,3,3,4,Opebi, Lagos
79,Ikeja,3500000,3,3,4,Opebi, Lagos
80,Ikeja,3500000,3,3,4,Opebi, Lagos
81,Ikeja,3500000,3,3,4,Opebi, Lagos
82,Ikeja,3500000,3,3,4,Opebi, Lagos
83,Ikeja,3500000,3,3,4,Opebi, Lagos
84,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
85,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
86,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
87,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
88,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
89,Ikeja,50000000,2,2,2,Omole Phase 1, Lagos
90,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
91,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
92,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
93,Ikeja,3500000,3,3,4,Opebi, Lagos
94,Ikeja,3500000,3,3,4,Opebi, Lagos
95,Ikeja,3500000,3,3,4,Opebi, Lagos
96,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
97,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
98,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
99,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
100,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
101,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
102,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
103,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
104,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
105,Ikeja,900000,1,3,2,Olowora, Lagos
106,Ikeja,900000,1,3,2,Olowora, Lagos
107,Ikeja,900000,1,3,2,Olowora, Lagos
108,Ikeja,900000,1,3,2,Olowora, Lagos
109,Ikeja,900000,1,3,2,Olowora, Lagos
110,Ikeja,900000,1,3,2,Olowora, Lagos
111,Ikeja,900000,1,3,2,Olowora, Lagos
112,Ikeja,900000,1,3,2,Olowora, Lagos
113,Ikeja,900000,1,3,2,Olowora, Lagos
114,Ikeja,900000,1,2,2,Olowora, Lagos
115,Ikeja,900000,1,2,2,Olowora, Lagos
116,Ikeja,900000,1,2,2,Olowora, Lagos
117,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
118,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
119,Ikeja,27000000,1,1,1,Anthony Enahoro Estate, Lagos
120,Ikeja,3500000,3,3,4,Opebi, Lagos
121,Ikeja,3500000,3,3,4,Opebi, Lagos
