,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Lekki,10000000,4,4,5,Admiralty Way, Lagos
1,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
2,Lekki,1200000,No Info,No Info,No Info,Lekki Phase 2, Lagos
3,Lekki,1200000,No Info,No Info,No Info,Lekki Phase 2, Lagos
4,Lekki,1200000,No Info,No Info,No Info,Lekki Phase 2, Lagos
5,Lekki,1200000,2,1,1,Lekki Phase 2, Lagos
6,Lekki,1200000,2,1,1,Lekki Phase 2, Lagos
7,Lekki,1200000,2,1,1,Lekki Phase 2, Lagos
8,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
9,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
10,Lekki,10000000,4,4,5,Admiralty Way, Lagos
11,Lekki,60000000,3,3,4,Osapa, Lagos
12,Lekki,60000000,3,3,4,Osapa, Lagos
13,Lekki,60000000,3,3,4,Osapa, Lagos
14,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
15,Lekki,10000000,4,4,5,Admiralty Way, Lagos
16,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
17,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
18,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
19,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
20,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
21,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
22,Lekki,10000000,4,4,5,Admiralty Way, Lagos
23,Lekki,750000,No Info,No Info,No Info,Children Hospital, Lagos
24,Lekki,750000,No Info,No Info,No Info,Children Hospital, Lagos
25,Lekki,750000,No Info,No Info,No Info,Children Hospital, Lagos
26,Lekki,10000000,4,4,5,Admiralty Way, Lagos
27,Lekki,10000000,4,4,5,Admiralty Way, Lagos
28,Lekki,10000000,4,4,5,Admiralty Way, Lagos
29,Lekki,10000000,4,4,5,Admiralty Way, Lagos
30,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
31,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
32,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
33,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
34,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
35,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
36,Lekki,10000000,4,4,5,Admiralty Way, Lagos
37,Lekki,10000000,4,4,5,Admiralty Way, Lagos
38,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
39,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
40,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
41,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
42,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
43,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
44,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
45,Lekki,1800000,1,2,2,Hrc Estate, Lagos
46,Lekki,1800000,1,2,2,Hrc Estate, Lagos
47,Lekki,1800000,1,2,2,Hrc Estate, Lagos
48,Lekki,10000000,4,4,5,Admiralty Way, Lagos
49,Lekki,10000000,4,4,5,Admiralty Way, Lagos
50,Lekki,10000000,4,4,5,Admiralty Way, Lagos
51,Lekki,10000000,4,4,5,Admiralty Way, Lagos
52,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
53,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
54,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
55,Lekki,3500000,2,2,3,Chevron Drive, Lagos
56,Lekki,3500000,2,2,3,Chevron Drive, Lagos
57,Lekki,3500000,2,2,3,Chevron Drive, Lagos
58,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
59,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
60,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
61,Lekki,4000000,1,1,2,Ikate, Lagos
62,Lekki,4000000,1,1,2,Ikate, Lagos
63,Lekki,4000000,1,1,2,Ikate, Lagos
64,Lekki,10000000,4,4,5,Admiralty Way, Lagos
65,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
66,Lekki,10000000,4,4,5,Admiralty Way, Lagos
67,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
68,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
69,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
70,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
71,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
72,Lekki,55000000,1,1,2,Off Ologolo Road, Lagos
73,Lekki,35000000,1,1,2,Ologolo, Lagos
74,Lekki,35000000,1,1,2,Ologolo, Lagos
75,Lekki,35000000,1,1,2,Ologolo, Lagos
76,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
77,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
78,Lekki,1600000,No Info,No Info,No Info,Spg, Lagos
79,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
80,Lekki,10000000,4,4,5,Admiralty Way, Lagos
81,Lekki,92000000,2,2,3,Off Gbangbala Road, Lagos
82,Lekki,10000000,4,4,5,Admiralty Way, Lagos
83,Lekki,3500000,2,2,3,Chevron Drive, Lagos
84,Lekki,3500000,2,2,3,Chevron Drive, Lagos
85,Lekki,3500000,2,2,3,Chevron Drive, Lagos
86,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
87,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
88,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
89,Lekki,10000000,4,4,5,Admiralty Way, Lagos
90,Lekki,10000000,4,4,5,Admiralty Way, Lagos
91,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
92,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
93,Lekki,1900000,No Info,No Info,No Info,Lekki Phase 1, Lagos
94,Lekki,10000000,4,4,5,Admiralty Way, Lagos
