,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,3 bedroom flat / apartment for rent,"Alpha Bay Estates. Alpha Beach Road. Lekki, Lekki, Lagos",2500000,3,3,3
1,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
2,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
3,Self contain (single rooms) for rent,"Off Davies Court, Ologolo, Lekki, Lagos",1100000,No Info,No Info,No Info
4,Self contain (single rooms) for rent,"Off Davies Court, Ologolo, Lekki, Lagos",1100000,No Info,No Info,No Info
5,Self contain (single rooms) for rent,"Off Davies Court, Ologolo, Lekki, Lagos",1100000,No Info,No Info,No Info
6,1 bedroom mini flat (room and parlour) for rent,"Off Catholic Church Road, Ologolo, Lekki, Lagos",1400000,1,1,1
7,1 bedroom mini flat (room and parlour) for rent,"Off Catholic Church Road, Ologolo, Lekki, Lagos",1400000,1,1,1
8,1 bedroom mini flat (room and parlour) for rent,"Off Catholic Church Road, Ologolo, Lekki, Lagos",1400000,1,1,1
9,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
10,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
11,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
12,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
13,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
14,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
15,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
16,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
17,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
18,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
19,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
20,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
21,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
22,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
23,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
24,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
25,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
26,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
27,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
28,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
29,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
30,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
31,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
32,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
33,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
34,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
35,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
36,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
37,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
38,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
39,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
40,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
41,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
42,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
43,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
44,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
45,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
46,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
47,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
48,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
49,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
50,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
51,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
