,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Ajah,40000000,2,2,3,The Balconies, Lagos
1,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
2,Ajah,40000000,2,2,3,The Balconies, Lagos
3,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
4,Ajah,40000000,2,2,3,The Balconies, Lagos
5,Ajah,40000000,2,2,3,The Balconies, Lagos
6,Ajah,750000,1,1,2,Olokonla, Lagos
7,Ajah,750000,1,1,2,Olokonla, Lagos
8,Ajah,750000,1,1,2,Olokonla, Lagos
9,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
10,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
11,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
12,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
13,Ajah,40000000,2,2,3,The Balconies, Lagos
14,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
15,Ajah,40000000,2,2,3,The Balconies, Lagos
16,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
17,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
18,Ajah,40000000,2,2,3,The Balconies, Lagos
19,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
20,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
21,Ajah,900000,2,2,3,Moba, Lagos
22,Ajah,900000,2,2,3,Moba, Lagos
23,Ajah,900000,2,2,3,Moba, Lagos
24,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
25,Ajah,40000000,2,2,3,The Balconies, Lagos
26,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
27,Ajah,1500000,2,2,3,Sangotedo, Lagos
28,Ajah,1500000,2,2,3,Sangotedo, Lagos
29,Ajah,1500000,2,2,3,Sangotedo, Lagos
30,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
31,Ajah,40000000,2,2,3,The Balconies, Lagos
32,Ajah,2000000,3,3,4,Lekki Scheme 2 Off Abraham Adesanya Road, Lagos
33,Ajah,40000000,2,2,3,The Balconies, Lagos
34,Ajah,40000000,2,2,3,The Balconies, Lagos
35,Ajah,40000000,2,2,3,The Balconies, Lagos
36,Ajah,2800000,3,1,4,Lekki Scheme 2, Lagos
