,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Ikeja,1500000,2,2,3,Aguda, Lagos
1,Ikeja,1500000,2,2,3,Aguda, Lagos
2,Ikeja,1500000,2,2,3,Aguda, Lagos
3,Ikeja,750000,1,1,2,Off College Road, Lagos
4,Ikeja,750000,1,1,2,Off College Road, Lagos
5,Ikeja,750000,1,1,2,Off College Road, Lagos
6,Ikeja,1500000,2,2,3,Aguda, Lagos
7,Ikeja,1500000,2,2,3,Aguda, Lagos
8,Ikeja,1500000,2,2,3,Aguda, Lagos
9,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
10,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
11,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
12,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
13,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
14,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
15,Ikeja,750000,1,1,2,Off College Road, Lagos
16,Ikeja,750000,1,1,2,Off College Road, Lagos
17,Ikeja,750000,1,1,2,Off College Road, Lagos
18,Ikeja,1200000,1,1,2,Alausa, Lagos
19,Ikeja,1200000,1,1,2,Alausa, Lagos
20,Ikeja,1200000,1,1,2,Alausa, Lagos
21,Ikeja,1500000,2,2,3,Aguda, Lagos
22,Ikeja,1500000,2,2,3,Aguda, Lagos
23,Ikeja,1500000,2,2,3,Aguda, Lagos
24,Ikeja,1500000,2,2,3,Aguda, Lagos
25,Ikeja,1500000,2,2,3,Aguda, Lagos
26,Ikeja,1500000,2,2,3,Aguda, Lagos
27,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
28,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
29,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
30,Ikeja,1500000,2,2,3,Aguda, Lagos
31,Ikeja,1500000,2,2,3,Aguda, Lagos
32,Ikeja,1500000,2,2,3,Aguda, Lagos
33,Ikeja,1500000,2,2,3,Aguda, Lagos
34,Ikeja,1500000,2,2,3,Aguda, Lagos
35,Ikeja,1500000,2,2,3,Aguda, Lagos
36,Ikeja,1500000,2,2,3,Aguda, Lagos
37,Ikeja,1500000,2,2,3,Aguda, Lagos
38,Ikeja,1500000,2,2,3,Aguda, Lagos
39,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
40,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
41,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
42,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
43,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
44,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
45,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
46,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
47,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
48,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
49,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
50,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
51,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
52,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
53,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
54,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
55,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
56,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
57,Ikeja,750000,1,1,2,Off College Road, Lagos
58,Ikeja,750000,1,1,2,Off College Road, Lagos
59,Ikeja,750000,1,1,2,Off College Road, Lagos
60,Ikeja,1500000,2,2,3,Aguda, Lagos
61,Ikeja,1500000,2,2,3,Aguda, Lagos
62,Ikeja,1500000,2,2,3,Aguda, Lagos
63,Ikeja,750000,1,1,2,Off College Road, Lagos
64,Ikeja,750000,1,1,2,Off College Road, Lagos
65,Ikeja,750000,1,1,2,Off College Road, Lagos
66,Ikeja,750000,1,1,2,Off College Road, Lagos
67,Ikeja,750000,1,1,2,Off College Road, Lagos
68,Ikeja,750000,1,1,2,Off College Road, Lagos
69,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
70,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
71,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
72,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
73,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
74,Ikeja,1500000,1,1,2,Bamishile Estate, Lagos
75,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
76,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
77,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
78,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
79,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
80,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
81,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
82,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
83,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
84,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
85,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
86,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
87,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
88,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
89,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
90,Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
91,Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
92,Ikeja,1500000,1,2,2,Bamishile Estate, Lagos
93,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
94,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
95,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
96,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
97,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
98,Ikeja,1600000,1,1,1,Adeniyi Jones, Lagos
99,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
100,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
101,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
102,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
103,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
104,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
105,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
106,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
107,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
108,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
109,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
110,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
111,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
112,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
113,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
114,Ikeja,1500000,2,2,3,Aguda, Lagos
115,Ikeja,1500000,2,2,3,Aguda, Lagos
116,Ikeja,1500000,2,2,3,Aguda, Lagos
117,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
118,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
119,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
120,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
121,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
122,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
123,Ikeja,1500000,2,2,3,Aguda, Lagos
124,Ikeja,1500000,2,2,3,Aguda, Lagos
125,Ikeja,1500000,2,2,3,Aguda, Lagos
126,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
127,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
128,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
129,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
130,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
131,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
132,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
133,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
134,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
135,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
136,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
137,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
138,Ikeja,180000000,3,3,4,Merit Estate, Lagos
139,Ikeja,180000000,3,3,4,Merit Estate, Lagos
140,Ikeja,180000000,3,3,4,Merit Estate, Lagos
141,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
142,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
143,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
144,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
145,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
146,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
147,Ikeja,1500000,2,2,3,Aguda, Lagos
148,Ikeja,1500000,2,2,3,Aguda, Lagos
149,Ikeja,1500000,2,2,3,Aguda, Lagos
150,Ikeja,750000,1,1,2,Off College Road, Lagos
151,Ikeja,750000,1,1,2,Off College Road, Lagos
152,Ikeja,750000,1,1,2,Off College Road, Lagos
153,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
154,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
155,Ikeja,12000000,5,5,6,Omole Phase 2, Lagos
156,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
157,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
158,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
159,Ikeja,1500000,2,2,3,Aguda, Lagos
160,Ikeja,1500000,2,2,3,Aguda, Lagos
161,Ikeja,1500000,2,2,3,Aguda, Lagos
162,Ikeja,1500000,2,2,3,Aguda, Lagos
163,Ikeja,1500000,2,2,3,Aguda, Lagos
164,Ikeja,1500000,2,2,3,Aguda, Lagos
165,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
166,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
167,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
168,Ikeja,750000,1,1,2,Off College Road, Lagos
169,Ikeja,750000,1,1,2,Off College Road, Lagos
170,Ikeja,750000,1,1,2,Off College Road, Lagos
171,Ikeja,180000000,3,3,4,Merit Estate, Lagos
172,Ikeja,180000000,3,3,4,Merit Estate, Lagos
173,Ikeja,180000000,3,3,4,Merit Estate, Lagos
174,Ikeja,300000000,4,5,5,Ikeja GRA, Lagos
