,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
1,Ikoyi,9500000,2,2,3,Parkview, Lagos
2,Ikoyi,9500000,2,2,3,Parkview, Lagos
3,Ikoyi,9500000,2,2,3,Parkview, Lagos
4,Ikoyi,9500000,2,2,3,Parkview, Lagos
5,Ikoyi,9500000,2,2,3,Parkview, Lagos
6,Ikoyi,9500000,2,2,3,Parkview, Lagos
7,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
8,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
9,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
10,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
11,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
12,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
13,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
14,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
15,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
16,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
17,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
18,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
19,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
20,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
21,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
22,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
23,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
24,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
25,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
26,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
27,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
28,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
29,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
30,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
31,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
32,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
33,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
34,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
35,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
36,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
37,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
38,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
39,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
40,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
41,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
42,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
43,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
44,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
45,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
46,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
47,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
48,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
49,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
50,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
51,Ikoyi,5500000,1,1,1,Mojisola Onikoyi Estate Off Banana Island Road, Lagos
52,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
53,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
54,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
55,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
56,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
57,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
58,Ikoyi,9500000,2,2,3,Parkview, Lagos
59,Ikoyi,9500000,2,2,3,Parkview, Lagos
60,Ikoyi,9500000,2,2,3,Parkview, Lagos
61,Ikoyi,7000000,1,1,2,Mojisola Onikoyi Estate By, Lagos
62,Ikoyi,7000000,1,1,2,Mojisola Onikoyi Estate By, Lagos
63,Ikoyi,7000000,1,1,2,Mojisola Onikoyi Estate By, Lagos
64,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
65,Ikoyi,320000000,3,3,4,Foreshore Estate Phase One, Lagos
66,Ikoyi,9500000,2,2,3,Parkview, Lagos
67,Ikoyi,9500000,2,2,3,Parkview, Lagos
68,Ikoyi,9500000,2,2,3,Parkview, Lagos
69,Ikoyi,9500000,2,2,3,Parkview, Lagos
70,Ikoyi,9500000,2,2,3,Parkview, Lagos
71,Ikoyi,9500000,2,2,3,Parkview, Lagos
72,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
73,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
74,Ikoyi,310000000,3,4,4,Off Club Road, Lagos
