,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
1,Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
2,Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
3,Lekki,1400000,1,1,1,Off Catholic Church Road, Lagos
4,Lekki,2500000,2,2,3,Lekki County Road, Lagos
5,Lekki,2500000,2,2,3,Lekki County Road, Lagos
6,Lekki,2500000,2,2,3,Lekki County Road, Lagos
7,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
8,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
9,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
10,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
11,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
12,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
13,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
14,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
15,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
16,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
17,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
18,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
19,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
20,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
21,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
22,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
23,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
24,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
25,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
26,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
27,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
28,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
29,Lekki,105000000,3,3,4,Osapa, Lagos
30,Lekki,105000000,3,3,4,Osapa, Lagos
31,Lekki,105000000,3,3,4,Osapa, Lagos
32,Lekki,1700000,1,1,1,Lekki Phase 1, Lagos
33,Lekki,2300000,1,1,2,Chevron Toll Gate, Lagos
34,Lekki,2300000,1,1,2,Chevron Toll Gate, Lagos
35,Lekki,2300000,1,1,2,Chevron Toll Gate, Lagos
36,Lekki,2500000,3,3,3,Alpha Bay Estates. Alpha Beach Road. Lekki, Lagos
37,Lekki,105000000,3,3,4,Osapa, Lagos
38,Lekki,105000000,3,3,4,Osapa, Lagos
39,Lekki,105000000,3,3,4,Osapa, Lagos
40,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
41,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
42,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
43,Lekki,1700000,2,1,1,Lekki Phase 1, Lagos
