,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
1,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
2,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
3,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
4,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
5,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
6,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
7,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
8,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
9,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
10,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
11,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
12,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
13,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
14,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
15,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
16,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
17,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
18,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
19,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
20,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
21,Victoria Island (VI),80000,1,1,2,Oniru, Lagos
22,Victoria Island (VI),80000,1,1,2,Oniru, Lagos
23,Victoria Island (VI),80000,1,1,2,Oniru, Lagos
24,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
25,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
26,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
27,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
28,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
29,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
30,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
31,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
32,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
33,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
34,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
35,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
36,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
37,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
38,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
39,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
40,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
41,Victoria Island (VI),80000,1,3,4,Oniru, Lagos
42,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
43,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
44,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
45,Victoria Island (VI),50000,1,1,1,Ajose Adeogun, Lagos
