,Location,Price,Bedroom,Bathrooms,Toilet,Location Area,State
0,Yaba,1000000,1,1,1,Iwaya, Lagos
1,Yaba,1000000,1,1,1,Iwaya, Lagos
2,Yaba,1000000,1,1,1,Iwaya, Lagos
3,Yaba,1000000,1,1,1,Iwaya, Lagos
4,Yaba,1000000,1,1,1,Iwaya, Lagos
5,Yaba,1000000,1,1,1,Iwaya, Lagos
6,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
7,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
8,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
9,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
10,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
11,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
12,Yaba,1500000,3,2,2,Onike, Lagos
13,Yaba,1500000,3,2,2,Onike, Lagos
14,Yaba,1500000,3,2,2,Onike, Lagos
15,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
16,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
17,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
18,Yaba,1000000,1,1,1,Iwaya, Lagos
19,Yaba,1000000,1,1,1,Iwaya, Lagos
20,Yaba,1000000,1,1,1,Iwaya, Lagos
21,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
22,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
23,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
24,Yaba,1000000,1,1,1,Iwaya, Lagos
25,Yaba,1000000,1,1,1,Iwaya, Lagos
26,Yaba,1000000,1,1,1,Iwaya, Lagos
27,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
28,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
29,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
30,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
31,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
32,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
33,Yaba,1500000,2,1,1,Ebute Metta West, Lagos
34,Yaba,1500000,2,1,1,Ebute Metta West, Lagos
35,Yaba,1500000,2,1,1,Ebute Metta West, Lagos
36,Yaba,4000000,3,3,4,Osholanke, Lagos
37,Yaba,4000000,3,3,4,Osholanke, Lagos
38,Yaba,4000000,3,3,4,Osholanke, Lagos
39,Yaba,700000,3,3,4,Alagomeji, Lagos
40,Yaba,700000,3,3,4,Alagomeji, Lagos
41,Yaba,700000,3,3,4,Alagomeji, Lagos
42,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
43,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
44,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
45,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
46,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
47,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
48,Yaba,1000000,1,1,1,Iwaya, Lagos
49,Yaba,1000000,1,1,1,Iwaya, Lagos
50,Yaba,1000000,1,1,1,Iwaya, Lagos
51,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
52,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
53,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
54,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
55,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
56,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
57,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
58,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
59,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
60,Yaba,4000000,3,3,4,Osholanke, Lagos
61,Yaba,4000000,3,3,4,Osholanke, Lagos
62,Yaba,4000000,3,3,4,Osholanke, Lagos
63,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
64,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
65,Yaba,800000,1,2,2,Off Herbert Macaulay Way, Lagos
66,Yaba,850000,1,1,1,Onike, Lagos
67,Yaba,850000,1,1,1,Onike, Lagos
68,Yaba,850000,1,1,1,Onike, Lagos
69,Yaba,1300000,1,2,2,Waec, Lagos
70,Yaba,1300000,1,2,2,Waec, Lagos
71,Yaba,1300000,1,2,2,Waec, Lagos
72,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
73,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
74,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
75,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
76,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
77,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
78,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
79,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
80,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
81,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
82,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
83,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
84,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
85,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
86,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
87,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
88,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
89,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
90,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
91,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
92,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
93,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
94,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
95,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
96,Yaba,1000000,1,1,1,Iwaya, Lagos
97,Yaba,1000000,1,1,1,Iwaya, Lagos
98,Yaba,1000000,1,1,1,Iwaya, Lagos
99,Yaba,700000,3,3,4,Alagomeji, Lagos
100,Yaba,700000,3,3,4,Alagomeji, Lagos
101,Yaba,700000,3,3,4,Alagomeji, Lagos
102,Yaba,1200000,1,1,2,Alagomeji, Lagos
103,Yaba,1200000,1,1,2,Alagomeji, Lagos
104,Yaba,1200000,1,1,2,Alagomeji, Lagos
105,Yaba,700000,3,3,4,Alagomeji, Lagos
106,Yaba,700000,3,3,4,Alagomeji, Lagos
107,Yaba,700000,3,3,4,Alagomeji, Lagos
108,Yaba,1500000,3,2,2,Onike, Lagos
109,Yaba,1500000,3,2,2,Onike, Lagos
110,Yaba,1500000,3,2,2,Onike, Lagos
111,Yaba,1500000,3,2,2,Onike, Lagos
112,Yaba,1500000,3,2,2,Onike, Lagos
113,Yaba,1500000,3,2,2,Onike, Lagos
114,Yaba,1000000,1,1,1,Iwaya, Lagos
115,Yaba,1000000,1,1,1,Iwaya, Lagos
116,Yaba,1000000,1,1,1,Iwaya, Lagos
117,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
118,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
119,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
120,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
121,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
122,Yaba,700000,2,1,1,Close To 3rd Mainland Bridge, Lagos
123,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
124,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
125,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
126,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
127,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
128,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
129,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
130,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
131,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
132,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
133,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
134,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
135,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
136,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
137,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
138,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
139,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
140,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
141,Yaba,700000,3,3,4,Alagomeji, Lagos
142,Yaba,700000,3,3,4,Alagomeji, Lagos
143,Yaba,700000,3,3,4,Alagomeji, Lagos
144,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
145,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
146,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
147,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
148,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
149,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
150,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
151,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
152,Yaba,1200000,1,1,2,Off Yaba Tech Back Gate, Lagos
153,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
154,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
155,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
156,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
157,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
158,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
159,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
160,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
161,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
162,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
163,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
164,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
165,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
166,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
167,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
168,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
169,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
170,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
171,Yaba,1000000,1,1,2,Adekunle, Lagos
172,Yaba,1000000,1,1,2,Adekunle, Lagos
173,Yaba,1000000,1,1,2,Adekunle, Lagos
174,Yaba,1300000,1,2,2,Waec, Lagos
175,Yaba,1300000,1,2,2,Waec, Lagos
176,Yaba,1300000,1,2,2,Waec, Lagos
177,Yaba,1500000,3,2,2,Onike, Lagos
178,Yaba,1500000,3,2,2,Onike, Lagos
179,Yaba,1500000,3,2,2,Onike, Lagos
180,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
181,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
182,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
183,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
184,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
185,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
186,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
187,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
188,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
189,Yaba,1000000,1,1,1,Iwaya, Lagos
190,Yaba,1000000,1,1,1,Iwaya, Lagos
191,Yaba,1000000,1,1,1,Iwaya, Lagos
192,Yaba,1200000,1,1,2,Alagomeji, Lagos
193,Yaba,1200000,1,1,2,Alagomeji, Lagos
194,Yaba,1200000,1,1,2,Alagomeji, Lagos
195,Yaba,700000,3,3,4,Alagomeji, Lagos
196,Yaba,700000,3,3,4,Alagomeji, Lagos
197,Yaba,700000,3,3,4,Alagomeji, Lagos
198,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
199,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
200,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
201,Yaba,700000,3,3,4,Alagomeji, Lagos
202,Yaba,700000,3,3,4,Alagomeji, Lagos
203,Yaba,700000,3,3,4,Alagomeji, Lagos
204,Yaba,700000,3,3,4,Alagomeji, Lagos
205,Yaba,700000,3,3,4,Alagomeji, Lagos
206,Yaba,700000,3,3,4,Alagomeji, Lagos
207,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
208,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
209,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
210,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
211,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
212,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
213,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
214,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
215,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
216,Yaba,700000,3,3,4,Alagomeji, Lagos
217,Yaba,700000,3,3,4,Alagomeji, Lagos
218,Yaba,700000,3,3,4,Alagomeji, Lagos
219,Yaba,1000000,1,1,1,Iwaya, Lagos
220,Yaba,1000000,1,1,1,Iwaya, Lagos
221,Yaba,1000000,1,1,1,Iwaya, Lagos
222,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
223,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
224,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
225,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
226,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
227,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
228,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
229,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
230,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
231,Yaba,700000,3,3,4,Alagomeji, Lagos
232,Yaba,700000,3,3,4,Alagomeji, Lagos
233,Yaba,700000,3,3,4,Alagomeji, Lagos
234,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
235,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
236,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
237,Yaba,1000000,1,1,1,Iwaya, Lagos
238,Yaba,1000000,1,1,1,Iwaya, Lagos
239,Yaba,1000000,1,1,1,Iwaya, Lagos
240,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
241,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
242,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
243,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
244,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
245,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
246,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
247,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
248,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
249,Yaba,700000,3,3,4,Alagomeji, Lagos
250,Yaba,700000,3,3,4,Alagomeji, Lagos
251,Yaba,700000,3,3,4,Alagomeji, Lagos
252,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
253,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
254,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
255,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
256,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
257,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
258,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
259,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
260,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
261,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
262,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
263,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
264,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
265,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
266,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
267,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
268,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
269,Yaba,2500000,1,3,4,Off Folagoro Road, Lagos
270,Yaba,700000,3,3,4,Alagomeji, Lagos
271,Yaba,700000,3,3,4,Alagomeji, Lagos
272,Yaba,700000,3,3,4,Alagomeji, Lagos
273,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
274,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
275,Yaba,13000000,1,1,1,Comfy Burrows, Lagos
276,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
277,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
278,Yaba,13000000,3,1,1,Comfy Burrows, Lagos
279,Yaba,1000000,1,1,1,Iwaya, Lagos
280,Yaba,1000000,1,1,1,Iwaya, Lagos
281,Yaba,1000000,1,1,1,Iwaya, Lagos
282,Yaba,1500000,3,2,2,Onike, Lagos
283,Yaba,1500000,3,2,2,Onike, Lagos
284,Yaba,1500000,3,2,2,Onike, Lagos
285,Yaba,700000,3,3,4,Alagomeji, Lagos
