,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
1,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
2,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
3,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
4,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
5,1 bedroom mini flat (room and parlour) short let,"Oniru, Victoria Island (VI), Lagos",80000,1,3,4
6,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
7,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
8,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
9,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
10,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
11,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
12,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
13,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
14,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
15,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
16,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
17,1 bedroom mini flat (room and parlour) short let,"Ajose Adeogun, Victoria Island (VI), Lagos",50000,1,1,1
