,Type,Location,Price,Bedroom,Bathrooms,Toilet
0,Self contain (single rooms) for rent,"Close To 3rd Mainland Bridge, Adekunle, Yaba, Lagos",700000,No Info,No Info,No Info
1,Self contain (single rooms) for rent,"Close To 3rd Mainland Bridge, Adekunle, Yaba, Lagos",700000,No Info,No Info,No Info
2,Self contain (single rooms) for rent,"Close To 3rd Mainland Bridge, Adekunle, Yaba, Lagos",700000,No Info,No Info,No Info
3,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
4,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
5,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
6,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
7,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
8,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
9,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
10,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
11,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
12,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
13,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
14,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
15,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
16,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
17,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
18,3 bedroom flat / apartment for rent,"Onike, Sabo, Yaba, Lagos",1500000,3,2,2
19,3 bedroom flat / apartment for rent,"Onike, Sabo, Yaba, Lagos",1500000,3,2,2
20,3 bedroom flat / apartment for rent,"Onike, Sabo, Yaba, Lagos",1500000,3,2,2
21,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
22,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
23,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
24,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
25,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
26,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
27,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
28,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
29,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
30,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
31,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
32,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
33,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
34,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
35,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
36,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
37,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
38,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
39,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
40,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
41,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
42,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
43,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
44,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
45,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
46,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
47,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
48,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
49,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
50,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
51,2 bedroom flat / apartment for rent,"Ebute Metta West, Yaba, Lagos",1500000,2,1,1
52,2 bedroom flat / apartment for rent,"Ebute Metta West, Yaba, Lagos",1500000,2,1,1
53,2 bedroom flat / apartment for rent,"Ebute Metta West, Yaba, Lagos",1500000,2,1,1
54,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,No Info,No Info,No Info
55,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,No Info,No Info,No Info
56,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,No Info,No Info,No Info
57,3 bedroom flat / apartment for rent,"Osholanke, Tm Meadows, Ebute Metta East, Yaba, Lagos",4000000,3,3,4
58,3 bedroom flat / apartment for rent,"Osholanke, Tm Meadows, Ebute Metta East, Yaba, Lagos",4000000,3,3,4
59,3 bedroom flat / apartment for rent,"Osholanke, Tm Meadows, Ebute Metta East, Yaba, Lagos",4000000,3,3,4
60,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,3,3,4
61,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,3,3,4
62,Self contain (single rooms) for rent,"Alagomeji, Yaba, Lagos",700000,3,3,4
63,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
64,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
65,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
66,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
67,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
68,1 bedroom mini flat (room and parlour) for rent,"Off Yaba Tech Back Gate, Abule Ijesha, Yaba, Lagos",1200000,1,1,2
69,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
70,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
71,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
72,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
73,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
74,1 bedroom mini flat (room and parlour) for rent,"Iwaya, Yaba, Lagos",1000000,1,1,1
75,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
76,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
77,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
78,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
79,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
80,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,No Info,No Info,No Info
81,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
82,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
83,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,3,1,1
84,1 bedroom mini flat (room and parlour) for rent,"Off Herbert Macaulay Way, Ebute Metta East, Yaba, Lagos",800000,1,2,2
85,1 bedroom mini flat (room and parlour) for rent,"Off Herbert Macaulay Way, Ebute Metta East, Yaba, Lagos",800000,1,2,2
86,1 bedroom mini flat (room and parlour) for rent,"Off Herbert Macaulay Way, Ebute Metta East, Yaba, Lagos",800000,1,2,2
